EmployeeID,Name,Department,Position,Salary,CompanyCode,CountryCode
E001,Employee_1,Finance,Coordinator,96508,C101,US
E002,Employee_2,Sales,Manager,75045,C505,IN
E003,Employee_3,Finance,Director,138767,C404,DE
E004,Employee_4,Marketing,Manager,62415,C202,UK
E005,Employee_5,Finance,Manager,87275,C404,DE
E006,Employee_6,Marketing,Manager,60204,C202,IN
E007,Employee_7,Marketing,Engineer,83137,C303,US
E008,Employee_8,Marketing,Analyst,78069,C505,DE
E009,Employee_9,Finance,Manager,89979,C303,US
E010,Employee_10,Operations,Specialist,116996,C505,US
E011,Employee_11,Operations,Manager,68131,C202,IN
E012,Employee_12,Marketing,Analyst,99749,C404,CA
E013,Employee_13,HR,Manager,72562,C202,IN
E014,Employee_14,HR,Engineer,137985,C404,UK
E015,Employee_15,Engineering,Coordinator,74404,C404,DE
E016,Employee_16,Finance,Specialist,129389,C404,US
E017,Employee_17,Engineering,Specialist,92388,C404,DE
E018,Employee_18,Operations,Director,95790,C404,DE
E019,Employee_19,Marketing,Director,75334,C303,DE
E020,Employee_20,Sales,Analyst,82054,C202,DE
E021,Employee_21,Sales,Engineer,129051,C101,IN
E022,Employee_22,Marketing,Manager,149440,C505,US
E023,Employee_23,Operations,Specialist,87400,C202,US
E024,Employee_24,Finance,Manager,140500,C202,IN
E025,Employee_25,Engineering,Director,82112,C101,IN
E026,Employee_26,Finance,Coordinator,139838,C202,DE
E027,Employee_27,Operations,Manager,120073,C303,US
E028,Employee_28,Finance,Engineer,149034,C303,US
E029,Employee_29,Operations,Engineer,137637,C505,DE
E030,Employee_30,Sales,Specialist,80216,C101,DE
E031,Employee_31,Finance,Specialist,83254,C303,CA
E032,Employee_32,Engineering,Engineer,135165,C202,DE
E033,Employee_33,Engineering,Analyst,62510,C505,DE
E034,Employee_34,Engineering,Coordinator,111774,C505,DE
E035,Employee_35,Finance,Specialist,141716,C404,CA
E036,Employee_36,HR,Coordinator,52105,C101,US
E037,Employee_37,Finance,Engineer,116350,C101,DE
E038,Employee_38,HR,Engineer,140800,C202,IN
E039,Employee_39,Operations,Coordinator,142005,C202,UK
E040,Employee_40,HR,Director,132013,C404,UK
E041,Employee_41,Engineering,Specialist,74957,C505,CA
E042,Employee_42,Marketing,Analyst,128587,C404,IN
E043,Employee_43,Marketing,Specialist,78155,C303,US
E044,Employee_44,Marketing,Coordinator,143385,C202,IN
E045,Employee_45,Marketing,Analyst,62330,C303,US
E046,Employee_46,Engineering,Director,141847,C202,US
E047,Employee_47,Finance,Specialist,92494,C101,IN
E048,Employee_48,Operations,Manager,54409,C202,UK
E049,Employee_49,Sales,Director,147652,C505,US
E050,Employee_50,HR,Engineer,103110,C505,UK
E051,Employee_51,Finance,Engineer,113711,C101,IN
E052,Employee_52,HR,Engineer,122324,C404,UK
E053,Employee_53,Marketing,Manager,91998,C202,DE
E054,Employee_54,HR,Engineer,71196,C202,US
E055,Employee_55,Finance,Coordinator,92679,C404,DE
E056,Employee_56,HR,Engineer,58124,C404,US
E057,Employee_57,Engineering,Engineer,141898,C505,DE
E058,Employee_58,Operations,Engineer,131720,C101,US
E059,Employee_59,Engineering,Coordinator,85812,C404,UK
E060,Employee_60,Engineering,Engineer,87811,C303,US
E061,Employee_61,Marketing,Engineer,71759,C202,UK
E062,Employee_62,HR,Analyst,65461,C101,IN
E063,Employee_63,Finance,Engineer,120416,C202,UK
E064,Employee_64,Finance,Coordinator,110905,C303,CA
E065,Employee_65,HR,Specialist,112517,C303,CA
E066,Employee_66,Marketing,Analyst,111443,C202,IN
E067,Employee_67,Sales,Coordinator,149322,C303,CA
E068,Employee_68,HR,Manager,93647,C202,UK
E069,Employee_69,Engineering,Specialist,64451,C303,IN
E070,Employee_70,Engineering,Manager,109204,C101,UK
E071,Employee_71,HR,Engineer,121001,C505,DE
E072,Employee_72,Operations,Analyst,135689,C202,IN
E073,Employee_73,HR,Director,89424,C505,DE
E074,Employee_74,Finance,Engineer,87286,C404,IN
E075,Employee_75,Sales,Coordinator,116066,C303,IN
E076,Employee_76,HR,Analyst,73723,C505,US
E077,Employee_77,Engineering,Director,98195,C404,CA
E078,Employee_78,Sales,Director,115192,C404,UK
E079,Employee_79,Operations,Coordinator,65995,C404,UK
E080,Employee_80,Operations,Specialist,78597,C505,UK
E081,Employee_81,Marketing,Manager,117045,C404,UK
E082,Employee_82,HR,Coordinator,140010,C101,IN
E083,Employee_83,Marketing,Analyst,87833,C505,US
E084,Employee_84,HR,Director,133000,C303,IN
E085,Employee_85,Operations,Director,133543,C202,DE
E086,Employee_86,HR,Analyst,76924,C404,DE
E087,Employee_87,Finance,Director,129501,C505,UK
E088,Employee_88,HR,Engineer,68396,C303,DE
E089,Employee_89,HR,Specialist,67630,C303,IN
E090,Employee_90,Finance,Director,132862,C202,UK
E091,Employee_91,Operations,Specialist,70212,C505,DE
E092,Employee_92,Engineering,Engineer,127877,C303,CA
E093,Employee_93,HR,Engineer,88891,C505,IN
E094,Employee_94,Sales,Coordinator,123486,C404,IN
E095,Employee_95,Operations,Coordinator,108408,C202,CA
E096,Employee_96,Marketing,Director,56818,C202,US
E097,Employee_97,Marketing,Manager,83883,C101,CA
E098,Employee_98,Operations,Specialist,56400,C505,DE
E099,Employee_99,Operations,Analyst,73270,C303,US
E100,Employee_100,HR,Specialist,52557,C202,US
